SC,sc:0-1200,sc:1200-1400,sc:1400-1600,sc:1600-1800,sc:1800-2000,sc:2000-3000,sc:3000-3500,sc:3500-8000,sc:bimodal,sc:mean,sc:std
mu1.wav,0.0,0.0,0.0,0.0,0.0,0.21686746987951808,0.35542168674698793,0.42771084337349397,0.032625378581764196,400.9776653110632,3342.6200983970934
mu2.wav,0.030120481927710843,0.0783132530120482,0.18674698795180722,0.23493975903614459,0.16265060240963855,0.26506024096385544,0.030120481927710843,0.012048192771084338,0.017832506479796083,504.42610949803776,1894.872345849542
mu3.wav,0.030120481927710843,0.20481927710843373,0.26506024096385544,0.21686746987951808,0.12048192771084337,0.16265060240963855,0.0,0.0,0.01003134443945638,311.82801384492905,1661.5543946830965
mu4.wav,0.0,0.04216867469879518,0.2289156626506024,0.35542168674698793,0.25903614457831325,0.1144578313253012,0.0,0.0,0.0,207.86718692371136,1740.320415231549
mu5.wav,0.06626506024096386,0.09036144578313253,0.25903614457831325,0.15060240963855423,0.1927710843373494,0.24096385542168675,0.0,0.0,0.016523486840028467,411.1124982824852,1756.6449102396623
mu6.wav,0.28313253012048195,0.13253012048192772,0.0783132530120482,0.12650602409638553,0.14457831325301204,0.23493975903614459,0.0,0.0,0.02904520959465974,543.6221560940681,1592.8268313788565
mu7.wav,0.0,0.0783132530120482,0.3433734939759036,0.3253012048192771,0.13855421686746988,0.10843373493975904,0.006024096385542169,0.0,0.0,316.80842059590566,1707.8824063730206
mu8.wav,0.0,0.0,0.006024096385542169,0.0,0.024096385542168676,0.8614457831325302,0.10843373493975904,0.0,0.0,337.4420828271982,2587.7256363405418
mu9.wav,0.0,0.018072289156626505,0.08433734939759036,0.10843373493975904,0.18674698795180722,0.6024096385542169,0.0,0.0,0.0,296.9912923494252,2042.4221206607535
mu10.wav,0.04216867469879518,0.0,0.10240963855421686,0.4759036144578313,0.2891566265060241,0.09036144578313253,0.0,0.0,0.012737411716240918,355.36348093652373,1715.8370752657474
mu11.wav,0.6746987951807228,0.13855421686746988,0.07228915662650602,0.018072289156626505,0.024096385542168676,0.03614457831325301,0.024096385542168676,0.012048192771084338,0.05472485664410177,610.4532417704272,1154.1432969110308
mu12.wav,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.03614457831325301,0.030120481927710843,0.5903614457831325,0.1746987951807229,0.15060240963855423,0.028090444667901913,648.5266616884209,2734.4617715006416
mu13.wav,0.2891566265060241,0.3674698795180723,0.25903614457831325,0.06626506024096386,0.006024096385542169,0.012048192771084338,0.0,0.0,0.029227854075203022,228.55907584399137,1306.4875645694988
mu14.wav,0.39156626506024095,0.16265060240963855,0.12048192771084337,0.1144578313253012,0.1144578313253012,0.0963855421686747,0.0,0.0,0.03185893697389891,440.9289871135914,1393.7047816405332
mu15.wav,0.15060240963855423,0.14457831325301204,0.30120481927710846,0.30120481927710846,0.0783132530120482,0.024096385542168676,0.0,0.0,0.023575744195195068,255.4683008846766,1517.8988643043278
mu16.wav,0.012048192771084338,0.10240963855421686,0.14457831325301204,0.1746987951807229,0.29518072289156627,0.2710843373493976,0.0,0.0,0.0038944775094444024,325.95918802841294,1827.8527491705763
mu17.wav,0.030120481927710843,0.04819277108433735,0.10843373493975904,0.13253012048192772,0.12650602409638553,0.5180722891566265,0.03614457831325301,0.0,0.01003134443945638,526.4930285429331,2116.612166133512
mu18.wav,0.0783132530120482,0.0783132530120482,0.12048192771084337,0.1144578313253012,0.13855421686746988,0.42771084337349397,0.024096385542168676,0.018072289156626505,0.0355543240529358,554.9870140059662,1946.9761446590476
mu19.wav,0.0,0.0,0.024096385542168676,0.09036144578313253,0.15060240963855423,0.6927710843373494,0.04216867469879518,0.0,0.0,419.5239158484551,2308.571465683831
mu20.wav,0.10843373493975904,0.04216867469879518,0.05421686746987952,0.1144578313253012,0.21686746987951808,0.42168674698795183,0.04216867469879518,0.0,0.020740068632581887,561.7321922514523,2008.4825930447985
sp1.wav,0.29518072289156627,0.1144578313253012,0.0963855421686747,0.07228915662650602,0.07228915662650602,0.1566265060240964,0.024096385542168676,0.1686746987951807,0.12617486796748395,1282.03091098785,2065.5294227538143
sp2.wav,0.2710843373493976,0.16265060240963855,0.18674698795180722,0.14457831325301204,0.030120481927710843,0.0783132530120482,0.018072289156626505,0.10843373493975904,0.10886567997035426,1009.3496983271439,1770.5651596398372
sp3.wav,0.1566265060240964,0.3072289156626506,0.18674698795180722,0.060240963855421686,0.030120481927710843,0.12650602409638553,0.03614457831325301,0.0963855421686747,0.09081814275732093,989.6196322587307,1835.1283734402211
sp4.wav,0.6626506024096386,0.012048192771084338,0.018072289156626505,0.018072289156626505,0.018072289156626505,0.05421686746987952,0.05421686746987952,0.16265060240963855,0.14897191367473098,1421.0757177900337,1635.2797700085928
sp5.wav,0.2891566265060241,0.10843373493975904,0.0963855421686747,0.05421686746987952,0.012048192771084338,0.1686746987951807,0.03614457831325301,0.23493975903614459,0.13681805565787808,1460.6545896712114,2259.6218428701395
sp6.wav,0.927710843373494,0.03614457831325301,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0,0.0,0.03934875724032436,202.20202534263825,914.096631577884
sp7.wav,0.5240963855421686,0.14457831325301204,0.10240963855421686,0.04819277108433735,0.060240963855421686,0.0963855421686747,0.012048192771084338,0.012048192771084338,0.05167731349030083,612.3838718293836,1342.292616772485
sp8.wav,0.8614457831325302,0.03614457831325301,0.0,0.006024096385542169,0.030120481927710843,0.030120481927710843,0.018072289156626505,0.018072289156626505,0.0693907791578874,656.0636268925808,891.630056226174
sp9.wav,0.7289156626506024,0.04216867469879518,0.03614457831325301,0.018072289156626505,0.006024096385542169,0.04819277108433735,0.03614457831325301,0.08433734939759036,0.12505784588436694,1104.0761648249438,1302.8310207032048
sp10.wav,0.6024096385542169,0.060240963855421686,0.030120481927710843,0.05421686746987952,0.030120481927710843,0.06626506024096386,0.030120481927710843,0.12650602409638553,0.13623280650580244,1214.480551956641,1524.0361331825518
sp11.wav,0.25903614457831325,0.12650602409638553,0.12048192771084337,0.1144578313253012,0.05421686746987952,0.14457831325301204,0.024096385542168676,0.1566265060240964,0.11980506317767482,1200.418382914902,1998.9483581308664
sp12.wav,0.1746987951807229,0.12048192771084337,0.1144578313253012,0.10240963855421686,0.0963855421686747,0.15060240963855423,0.04216867469879518,0.19879518072289157,0.11542313423871885,1237.551842282709,2218.206979613168
sp13.wav,0.7108433734939759,0.030120481927710843,0.04216867469879518,0.04819277108433735,0.04216867469879518,0.024096385542168676,0.012048192771084338,0.09036144578313253,0.1272168922356683,1030.7352940984756,1241.2000774382166
sp14.wav,0.3674698795180723,0.12650602409638553,0.13253012048192772,0.13253012048192772,0.030120481927710843,0.1686746987951807,0.018072289156626505,0.024096385542168676,0.06571340233237419,652.6131697702292,1545.6416374414807
sp15.wav,0.30120481927710846,0.14457831325301204,0.13855421686746988,0.024096385542168676,0.06626506024096386,0.1746987951807229,0.04216867469879518,0.10843373493975904,0.11167540930975126,924.6911187451783,1844.631480122133
sp16.wav,0.0,0.018072289156626505,0.018072289156626505,0.012048192771084338,0.04819277108433735,0.45180722891566266,0.3373493975903614,0.1144578313253012,0.021205935119080196,645.2529567377572,2899.877950949336
sp17.wav,0.0,0.0,0.0,0.012048192771084338,0.03614457831325301,0.6144578313253012,0.2469879518072289,0.09036144578313253,0.019172528880246363,495.5642082474911,2862.916783614889
sp18.wav,0.7951807228915663,0.060240963855421686,0.03614457831325301,0.03614457831325301,0.0,0.03614457831325301,0.03614457831325301,0.0,0.038010003644337556,559.1057546502792,1091.4915260166797
sp19.wav,0.37349397590361444,0.14457831325301204,0.10240963855421686,0.10843373493975904,0.05421686746987952,0.0783132530120482,0.030120481927710843,0.10843373493975904,0.11741384706182968,1034.4595119938695,1706.6003579410162
sp20.wav,0.7831325301204819,0.024096385542168676,0.04216867469879518,0.030120481927710843,0.018072289156626505,0.10240963855421686,0.0,0.0,0.03787741335889694,597.1333662237871,927.8755627394842
